"Order","Order"
"Continue shopping","Continue shopping"
"Close","Close"
"None","None"
"Total","Total"
"Paid","Paid"
"How did you hear about us:","How did you hear about us:"
"Estimated shipping date:","Estimated shipping date:"
"Estimated shipping date","Estimated shipping date"
"Shipping address","Shipping address"
"Payment infomation","Payment infomation"
"Expired on","Expired on"
"Order Summary","Order Summary"
"Promotional code","Promotional code"
"Product customization requests","Product customization requests"
"Subtotal","Subtotal"
"Shipping","Shipping"
"Discount","Discount"
"Thank you","Thank you"
"A confirmation email has been sent to","A confirmation email has been sent to"
"Print receipt","Print receipt"
"Continue Shopping","Continue Shopping"
"Additional product information","Additional product information"
"Forgot Your Password?","Forgot Your Password?"
"Already have an account with us?","Already have an account with us?"
"LOG IN","LOG IN"
"Email","Email"
"Apt. Suite. Etc.","Apt. Suite. Etc."
"Please select the country.","Please select the country."
"Estimated shipping date","Estimated shipping date"